Attention_Meditation,Eye_Blinking_and_Facial_Expressions,Motor_Imagery_and_Spatial_Navigation,Auditory_Processing_and_Emotion,Visual_Processing
very low,very high,very high,very high,very low
very low,very high,high,high,very low
very high,very low,very low,very low,high
very high,very low,very low,very low,high
very high,very low,very low,very low,very high
very high,low,very low,very low,low
very high,very low,low,low,high
very low,very high,very high,very high,very low
very low,very high,very high,very low,very low
high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,high,very low,very high,very low
low,very high,low,very high,very low
low,very high,very low,very high,very low
high,high,very low,very high,very low
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,low,very low,very low,very high
very high,low,very low,very low,high
very high,very low,very low,very low,high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,low,very low,low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very high,very high,very high,very high
very high,very low,very low,very low,very high
very low,very low,very low,very low,very high
very low,very high,very low,very low,very low
very high,very high,very high,very low,very high
very low,very low,very low,very low,very high
very high,very low,very high,very low,very high
very low,very low,very high,very low,very high
very low,very low,very low,very low,very high
very low,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
low,high,high,very high,very low
very low,very high,very high,very high,very low
low,high,high,very high,very low
low,high,high,very high,very low
low,very high,high,very high,very low
low,high,high,very high,very low
low,low,high,high,low
high,low,low,high,high
very high,very low,very low,very low,very high
high,low,low,low,high
high,high,low,high,low
very high,very low,very low,very low,very high
very high,low,very low,very low,high
high,low,very low,very low,very high
high,low,very low,very low,very high
very high,very low,very low,very low,very high
high,very low,low,very low,high
high,low,low,low,high
high,low,low,low,high
low,high,high,high,low
high,low,low,high,low
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
very high,very low,low,very low,high
very high,very low,very low,very low,very high
very high,very low,very low,very low,very high
high,high,high,very low,high
low,high,high,high,high
very high,very low,low,very low,very high
very high,very low,very low,very low,very high
high,very low,high,low,low
high,low,high,high,low
high,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
high,high,high,high,very low
very high,low,low,low,very high
very high,very low,very low,very low,very high
very high,high,high,low,high
high,high,high,high,low
high,low,high,high,high
low,very high,very high,very high,very low
low,very high,very high,very high,very low
low,very high,very high,very high,very low
low,high,high,very high,high
high,high,high,very high,high
high,high,high,very high,low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
low,high,very high,very high,low
low,low,high,high,high
high,low,high,low,high
high,low,low,low,very high
high,low,low,low,high
high,low,high,high,high
high,high,high,very high,low
high,low,high,high,low
very high,high,high,high,low
high,high,high,very high,very low
very high,low,high,low,low
very high,low,high,low,low
high,high,high,high,low
high,high,very high,high,low
high,high,very high,high,low
very high,high,high,high,low
high,high,high,high,low
high,high,very high,high,low
low,high,very high,very high,very low
high,very low,high,low,high
low,low,very high,very high,very low
low,high,very high,very high,very low
low,very high,very high,very high,very low
low,very high,very high,very high,very low
very low,very high,very high,very high,very low
low,very high,very high,very high,very low
low,very high,very high,very high,very low
low,very high,very high,very high,very low
low,very high,very high,very high,very low
low,very high,very high,very high,low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
high,very high,very high,very high,very low
low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,high,very high,very high,very low
very low,high,very high,very high,low
very low,very high,very high,very high,low
very low,very high,very high,very high,very low
low,very high,very high,very high,low
very low,very high,very high,very high,very low
low,very high,very high,very high,very low
low,very high,very high,very high,very low
high,high,high,very high,high
high,low,high,high,high
high,low,low,low,very high
high,very low,low,low,very high
low,high,very high,very high,low
high,low,very high,high,high
low,very high,very high,very high,low
low,very high,very high,very high,very low
low,very high,very high,high,low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
low,very high,very high,very high,high
low,very high,very high,very high,high
low,very high,very high,very high,low
low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
low,very high,high,very high,low
low,very high,very high,very high,low
very low,very high,very high,very high,very low
low,very high,very high,very high,very low
very low,very high,very high,very high,very low
low,very high,very high,very high,very low
low,very high,very high,very high,very low
low,very high,very high,very high,very low
low,very high,very high,very high,low
high,low,low,low,very high
very high,low,very low,very low,very high
very high,very low,very low,very low,very high
very high,low,very low,very low,very high
very high,very low,low,very low,very high
very high,very low,low,very low,very high
very high,very low,low,very low,very high
high,high,high,very low,high
low,high,high,very low,high
low,very high,very high,very high,low
very low,very high,very high,very high,very low
very low,high,very high,high,low
very low,very high,very high,high,high
low,very high,very high,very high,low
low,very high,very high,very high,low
low,high,high,high,high
low,very high,very high,high,high
high,high,high,low,very high
high,high,high,low,very high
high,very high,very high,low,very high
very high,high,low,very low,very high
low,very high,very high,very high,very low
low,very high,very high,very high,low
high,high,low,low,very high
very high,very low,low,very low,very high
high,high,low,very low,very high
high,high,high,very high,very high
high,high,high,very high,high
high,low,high,high,very high
high,low,low,very low,very high
very low,very high,very high,high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,low,high
very low,very high,very low,very high,very low
very low,very high,very low,very high,very low
low,very high,very low,high,very high
high,high,very low,low,very high
high,low,very low,very low,very high
high,very low,low,very low,very high
low,high,high,low,high
low,high,very high,high,low
high,high,very high,low,high
low,high,high,low,high
low,very high,very high,very high,low
very high,very low,very low,very low,very high
very high,low,low,high,high
very low,very high,very high,very high,very low
very low,very high,high,very high,very low
very low,very high,very high,very high,very low
very low,very high,high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
low,very high,high,high,low
low,high,high,very low,low
high,high,low,very low,high
very low,high,low,very low,low
very low,very high,very high,very low,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,high,very low
very low,very high,high,high,very low
very low,very high,high,very high,very low
low,high,high,high,low
high,high,high,high,low
high,low,low,high,high
very high,very low,very low,low,very high
very high,very low,very low,very low,very high
very high,very low,low,low,very high
high,low,high,high,high
high,low,low,high,high
high,very low,low,high,very high
low,high,high,very high,low
low,very high,very high,very high,very low
low,high,very high,very high,very low
low,very high,very high,very high,very low
very low,very high,very high,very high,very low
low,very high,very high,very high,very low
very low,very high,very high,very high,very low
very low,very high,very high,very high,very low
low,very high,high,very high,low
low,very high,high,very high,low
low,high,high,very high,high
high,high,high,very high,very high
low,high,high,very high,very high
